ID,PAYS,PROVINCE,CPROV_SNIS,DIST_ADM,CDA_SNIS,TERRITOIRE,CTER_SNIS,DIST_SA,NOM_ZS,CZS_SNIS,SCE_GEO,Cde_ZS_PUC,Cde_DS_PUC,Nom_DS_PUC,Nom_ZS_PUC,Area,Pop,PopDensity
0,RDC,Bas-Congo,02,Cataractes,0203,MBANZA NGUNGU,020302,Cataractes,Boko-Kivulu,02030201,OMS,02030201,0203,Cataractes,Boko-Kivulu,1998.19902902000,153714.00000000000,76.93
0,RDC,Bas-Congo,02,Cataractes,0203,MBANZA NGUNGU,020302,Cataractes,Mbanza-Ngungu,02030205,OMS,02030205,0203,Cataractes,Mbanza-Ngungu,427.15178299000,106417.00000000000,249.13
0,RDC,Bas-Congo,02,Cataractes,0203,MBANZA NGUNGU,020302,Cataractes,Kwilu-Ngongo,02030204,OMS,02030204,0203,Cataractes,Kwilu-Ngongo,2090.66421707000,133034.00000000000,63.63
0,RDC,Bas-Congo,02,Lukaya,0204,MADIMBA,020403,Lukaya,Kisantu,02040301,OMS,02040301,0204,Lukaya,Kisantu,1729.28793788000,160137.00000000000,92.60
82,RDC,Kasai Occidental,10,Kasai,1003,ILEBO,100304,Kasai,Mikope,10030403,OMS,10030403,,Kasa,Mikope,11693.51951670000,150486.00000000000,12.87
0,RDC,Bandundu,03,Mai-Ndombe,0305,Oshwe,030504,Mai-Ndombe,Oshwe,03050402,OMS,03050402,0305,Mai-Ndombe,Oshwe,15742.10483840000,117177.00000000000,7.44
0,RDC,Bandundu,03,Mai-Ndombe,0305,Kutu,030503,Mai-Ndombe,Bosobe,03050302,OMS,03050302,0305,Mai-Ndombe,Bosobe,6493.49896084000,102355.00000000000,15.76
0,RDC,Bandundu,03,Mai-Ndombe,0305,Kutu,030503,Mai-Ndombe,Bokoro,03050301,OMS,03050301,0305,Mai-Ndombe,Bokoro,9484.81747854000,167776.00000000000,17.69
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030405,Kwilu,Masi-Manimba,03040502,OMS,03040502,0304,Kwilu,Masi-Manimba,3336.58784657000,151524.00000000000,45.41
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030405,Kwilu,Yasa-Bonga,03040505,OMS,03040505,0304,Kwilu,Yasa-Bonga,2830.43952682000,166513.00000000000,58.83
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030404,Kwilu,Idiofa,03040401,OMS,03040401,0304,Kwilu,Idiofa,6069.53164033000,228484.00000000000,37.64
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030404,Kwilu,Ipamu,03040402,OMS,03040402,0304,Kwilu,Ipamu,2786.83864490000,157586.00000000000,56.55
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030404,Kwilu,Koshibanda,03040404,OMS,03040404,0304,Kwilu,Koshibanda,5038.66427967000,146759.00000000000,29.13
0,RDC,Bandundu,03,Kwilu,0304,Gungu,030403,Kwilu,Kingandu,03040302,OMS,03040302,0304,Kwilu,Kingandu,2656.04565567000,81053.00000000000,30.52
0,RDC,Bandundu,03,Kwilu,0304,Bulungu,030402,Kwilu,Bulungu,03040201,OMS,03040201,0304,Kwilu,Bulungu,2979.82871103000,210293.00000000000,70.57
0,RDC,Bandundu,03,Kwilu,0304,Bagata,030401,Kwilu,Bagata,03040101,OMS,03040101,0304,Kwilu,Bagata,8392.20060268000,130466.00000000000,15.55
0,RDC,Bandundu,03,Bandundu,0301,"Disasi, Basoko, Mayoyo",030101,Bandundu,Bandundu,03010101,OMS,03010101,0301,Bandundu,Bandundu,363.24782119600,109430.00000000000,301.25
0,RDC,Bandundu,03,Kwango,0303,Kahemba,030302,Kwango,Kajiji,03030202,OMS,03030202,0303,Kwango,Kajiji,6804.99716404000,120410.00000000000,17.69
0,RDC,Bandundu,03,Kikwit,0302,"Kazamba, Lukeni",030201,Kikwit,Kikwit-Nord,03020101,OMS,03020101,0302,Kikwit,Kikwit-Nord,95.47443350430,169518.00000000000,1775.50
0,RDC,Bandundu,03,Kwilu,0304,Bulungu,030402,Kwilu,Lusanga,03040203,OMS,03040203,0304,Kwilu,Lusanga,3627.74467455000,195462.00000000000,53.88
0,RDC,Bandundu,03,Kwango,0303,Feshi,030301,Kwango,Feshi,03030101,OMS,03030101,0303,Kwango,Feshi,6942.15155367000,119284.00000000000,17.18
0,RDC,Bandundu,03,Kwango,0303,Kasongo-Lunda,030303,Kwango,Wamba Lwadi,03030305,OMS,03030305,0303,Kwango,Wamba Lwadi,5684.27591293000,87280.00000000000,15.35
0,RDC,Bandundu,03,Kwango,0303,Kasongo-Lunda,030303,Kwango,Panzi,03030303,OMS,03030303,0303,Kwango,Panzi,9255.58590172000,140037.00000000000,15.13
0,RDC,Bandundu,03,Kwango,0303,Kasongo-Lunda,030303,Kwango,Tembo,03030304,OMS,03030304,0303,Kwango,Tembo,3716.37407269000,101677.00000000000,27.36
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030405,Kwilu,Moanza,03040501,OMS,03040501,0304,Kwilu,Moanza,6643.33897235000,139561.00000000000,21.01
0,RDC,Bandundu,03,Kwango,0303,Kenge,030304,Kwango,Kimbau,03030403,OMS,03030403,0303,Kwango,Kimbao,4205.27839100000,140248.00000000000,33.35
0,RDC,Bandundu,03,Kwango,0303,Kenge,030304,Kwango,Kenge,03030402,OMS,03030402,0303,Kwango,Kenge,5102.74668526000,228277.00000000000,44.74
0,RDC,Bandundu,03,Kwango,0303,Kutu,030304,Kwango,Boko,03030401,OMS,03030401,0303,Kwango,Boko,9354.38104891000,168550.00000000000,18.02
0,RDC,Bandundu,03,Mai-Ndombe,0305,Kiri,030502,Mai-Ndombe,Kiri,03050201,OMS,03050201,0305,Mai-Ndombe,Kiri,8320.91848133000,90612.00000000000,10.89
0,RDC,Bandundu,03,Mai-Ndombe,0305,Kiri,030502,Mai-Ndombe,Pendjwa,03050202,OMS,03050202,0305,Mai-Ndombe,Penjwa,4292.54037600000,64876.00000000000,15.11
0,RDC,Bandundu,03,Mai-Ndombe,0305,Inongo,030501,Mai-Ndombe,Inongo,03050102,OMS,03050102,0305,Mai-Ndombe,Inongo,14785.15055490000,150464.00000000000,10.18
0,RDC,Bandundu,03,Mai-Ndombe,0305,Inongo,030501,Mai-Ndombe,Ntandembelo,03050103,OMS,03050103,0305,Mai-Ndombe,Ntandembelo,3446.76629694000,71885.00000000000,20.86
0,RDC,Bandundu,03,Mai-Ndombe,0305,Inongo,030501,Mai-Ndombe,Banjow Moke,03050101,OMS,03050101,0305,Mai-Ndombe,Banjow Moke,5785.31367373000,87872.00000000000,15.19
0,RDC,Province Orienta,05,Bas-Uele,0503,Poko,050304,Dingila,Viadana,05030402,OMS,0503B0402,0503B,Dingila,Viadana,4160.99718804000,84141.00000000000,20.22
0,RDC,Province Orienta,05,Bas-Uele,0503,Poko,050304,Dingila,Poko,05030401,OMS,0503B0401,0503B,Dingila,Poko,17823.53588040000,103821.00000000000,5.82
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Mwenga,060205,SK Centre,Mwana,06020504,OMS,0602A0504,,SK Centre,Mwana,436.96681500800,107175.00000000000,245.27
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Walungu,060208,SK Centre,Kaziba,06020802,OMS,0602A0802,,SK Centre,Kaziba,263.42070856800,101083.00000000000,383.73
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Kabare,060203,SK Centre,Nyantende,06020304,OMS,0602A0304,,SK Centre,Nyantende,72.67367306000,78868.00000000000,1085.20
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Walungu,060208,SK Centre,Nyangezi,06020804,OMS,0602A0804,,SK Centre,Nyangezi,143.57862942600,107261.00000000000,747.05
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Kalehe,060204,SK Nord,Minova,06020404,OMS,0602B0404,,SK Nord,Minova,552.77790452600,168864.00000000000,305.48
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Kabare,060203,SK Nord,Kabare,06020301,OMS,0602B0301,,SK Nord,Kabare,420.29572899800,162904.00000000000,387.59
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Walungu,060208,SK Centre,Mubumbano,06020803,OMS,0602A0803,,SK Centre,Mubumbano,406.37068621300,145398.00000000000,357.80
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Walungu,060208,SK Centre,Walungu,06020805,OMS,0602A0805,,SK Centre,Walungu,703.79456226500,214248.00000000000,304.42
0,RDC,Sud Kivu,06,Sud-Kivu,0602,Uvira,060207,SK Sud,Haut-Plateau,06020701,OMS,0602C0701,,SK Sud,Haut-Plateau,1749.31995220000,90524.00000000000,51.75
0,RDC,Province Orienta,05,Tshopo,0502,Basoko,050201,Tshopo Lomam,Basali,05020102,OMS,0502B0102,0502B,Tshopo Lomami,Basali,11606.85043620000,61392.00000000000,5.29
0,RDC,Province Orienta,05,Tshopo,0502,Basoko,050201,Tshopo Lomam,Basoko,05020101,OMS,0502B0101,0502B,Tshopo Lomami,Basoko,1624.82191028000,128856.00000000000,79.30
