X,Y,scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,ID,PAYS,PROVINCE,CPROV_SNIS,DIST_ADM,CDA_SNIS,TERRITOIRE,CTER_SNIS,DIST_SA,NOM_ZS,CZS_SNIS,SCE_GEO,Cde_ZS_PUC,Cde_DS_PUC,Nom_DS_PUC,Nom_ZS_PUC,Area,Pop,PopDensity,COUNT
19.000018268518147,-7.28292885450486,7,20,3,Populated place,Kahemba,,,0,Kahemba,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-7.28292885450,19.00001826850,0.00000000000,0,,50000,41289,0,7,7,-1.00000000000,,Kahemba,0,0,0.000000000000000,RDC,Bandundu,03,Kwango,0303,Kahemba,030302,Kwango,Kahemba,03030201,OMS,03030201,0303,Kwango,Kahemba,13200.26774330000,204519.00000000000,15.49,1
18.599991006146809,-4.549607321290864,7,20,3,Populated place,Bulungu,,,0,Bulungu,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-4.54960732129,18.59999100610,0.00000000000,0,,48344,36277,36438,7,7,2316259.00000000000,,Bulungu,1,0,0.000000000000000,RDC,Bandundu,03,Kwilu,0304,Bulungu,030402,Kwilu,Bulungu,03040201,OMS,03040201,0304,Kwilu,Bulungu,2979.82871103000,210293.00000000000,70.57,1
16.516655638299881,-5.582929261399158,7,20,3,Populated place,Lusanga,,,0,Lusanga,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-5.58292926140,16.51665563830,0.00000000000,0,,177,177,177,1,1,-1.00000000000,,Lusanga,1,0,0.000000000000000,RDC,Bandundu,03,Kwango,0303,Popokabaka,030305,Kwango,Popokabaka,03030501,OMS,03030501,0303,Kwango,Popokabaka,6281.68398914000,146025.00000000000,23.25,1
19.530011758103512,-4.039612611002383,7,20,3,Populated place,Mangai,,,0,Mangai,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-4.03961261100,19.53001175810,0.00000000000,0,,37188,2704,0,7,4,2313084.00000000000,,Mangai,1,0,0.000000000000000,RDC,Bandundu,03,Kwilu,0304,Idiofa,030404,Kwilu,Ipamu,03040402,OMS,03040402,0304,Kwilu,Ipamu,2786.83864490000,157586.00000000000,56.55,1
16.829969847285497,-6.479618714527703,7,20,3,Populated place,Kasongo-Lunda,,,0,Kasongo-Lunda,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-6.47961871453,16.82996984730,0.00000000000,0,,20060,17436,17436,7,6,2315026.00000000000,,Kasongo-Lunda,1,0,0.000000000000000,RDC,Bandundu,03,Kwango,0303,Kasongo-Lunda,030303,Kwango,Kasongo Lunda,03030301,OMS,03030301,0303,Kwango,Kasongo Lunda,2954.34778557000,126398.00000000000,42.78,1
16.920041868770227,-3.019623190425307,7,20,3,Populated place,Mushie,,,0,Mushie,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-3.01962319043,16.92004186880,0.00000000000,0,,33062,14965,15135,7,6,2312249.00000000000,,Mushie,1,0,0.000000000000000,RDC,Bandundu,03,Plateau,0306,Mushie,030603,Plateau,Mushie,03060301,OMS,03060301,0306,Plateau,Mushie,11859.89385420000,101488.00000000000,8.56,1
22.870014606424263,-6.509539368824733,7,20,3,Populated place,Dibaya,,,0,Dibaya,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Kasa-Occidental,CD,,-6.50953936882,22.87001460640,4.00000000000,0,Changed scale rank.,603,603,0,2,2,-1.00000000000,,Dibaya,1,0,0.000000000000000,RDC,Kasai Occidental,10,Lulua,1004,Dibaya,100401,Lulua,Dibaya,10040102,Div_snis,1004A0102,,Lulua,Dibaya,1408.52727576000,119984.00000000000,85.18,1
21.569990599257721,-4.839615459312881,7,20,3,Populated place,Mweka,,,0,Mweka,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Kasa-Occidental,CD,,-4.83961545931,21.56999059930,0.00000000000,0,,50675,39769,0,8,7,207596.00000000000,,Mweka,1,0,0.000000000000000,RDC,Kasai Occidental,10,Kasai,1003,Mweka,100305,Kasai,Bulape,10030501,Div_snis,10030501,,Kasa,Bulape,4012.86127814000,138732.00000000000,34.57,1
21.41000036488191,-5.349506816736664,7,20,3,Populated place,Luebo,,,0,Luebo,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Kasa-Occidental,CD,,-5.34950681674,21.41000036490,4.00000000000,0,Changed scale rank.,35183,182,182,7,1,210939.00000000000,,Luebo,1,0,0.000000000000000,RDC,Kasai Occidental,10,Kasai,1003,Luebo,100303,Kasai,Luebo,10030301,Div_snis,10030301,,Kasa,Luebo,5669.15999894000,255157.00000000000,45.01,1
22.259974323218671,-5.509600403977004,7,20,3,Populated place,Demba,,,0,Demba,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Kasa-Occidental,CD,,-5.50960040398,22.25997432320,4.00000000000,0,Changed scale rank.,22263,11754,11917,7,6,217389.00000000000,,Demba,1,0,0.000000000000000,RDC,Kasai Occidental,10,Lulua,1004,Demba,100402,Lulua,Demba,10040202,OMS,1004A0202,,Lulua,Demba,3817.64301928000,265919.00000000000,69.66,1
